src_ip;oct1;oct2;oct3;oct4;pca1;pca2
192.168.121.1;192;168;121;1;-97.85784618929638;3.385150797825684
192.168.121.2;192;168;121;2;-96.8578719882878;3.392333925084637
192.168.121.3;192;168;121;3;-95.85789778727927;3.3995170523436204
192.168.121.4;192;168;121;4;-94.85792358627054;3.406700179602586
192.168.121.7;192;168;121;7;-91.8580009832448;3.4282495613794897
192.168.121.9;192;168;121;9;-89.85805258122761;3.4426158158974265
192.168.121.12;192;168;121;12;-86.85812997820183;3.4641651976743324
192.168.121.14;192;168;121;14;-84.85818157618463;3.47853145219227
192.168.121.16;192;168;121;16;-82.85823317416742;3.4928977067102074
192.168.121.19;192;168;121;19;-79.85831057114164;3.5144470884871133
192.168.121.20;192;168;121;20;-78.85833637013305;3.521630215746081
192.168.121.22;192;168;121;22;-76.85838796811585;3.535996470264019
192.168.121.24;192;168;121;24;-74.85843956609864;3.550362724781956
192.168.121.27;192;168;121;27;-71.85851696307286;3.571912106558862
192.168.121.29;192;168;121;29;-69.85856856105566;3.5862783610767996
192.168.121.30;192;168;121;30;-68.85859436004706;3.5934614883357674
192.168.121.31;192;168;121;31;-67.85862015903848;3.6006446155947374
192.168.121.32;192;168;121;32;-66.85864595802988;3.6078277428537056
192.168.121.34;192;168;121;34;-64.85869755601269;3.622193997371643
192.168.121.39;192;168;121;39;-59.8588265509697;3.6581096336664864
192.168.121.41;192;168;121;41;-57.85887814895251;3.672475888184423
192.168.121.42;192;168;121;42;-56.858903947943915;3.679659015443392
192.168.121.45;192;168;121;45;-53.858981344918135;3.701208397220298
192.168.121.46;192;168;121;46;-52.859007143909515;3.7083915244792665
192.168.121.49;192;168;121;49;-49.859084540883735;3.7299409062561724
192.168.121.50;192;168;121;50;-48.85911033987513;3.737124033515141
192.168.121.52;192;168;121;52;-46.85916193785794;3.7514902880330783
192.168.121.58;192;168;121;58;-40.85931673180635;3.79458905158689
192.168.121.59;192;168;121;59;-39.859342530797754;3.8017721788458583
192.168.121.60;192;168;121;60;-38.85936832978916;3.808955306104828
192.168.121.62;192;168;121;62;-36.85941992777197;3.823321560622764
192.168.121.67;192;168;121;67;-31.859548922728976;3.8592371969176074
192.168.121.70;192;168;121;70;-28.85962631970318;3.8807865786945137
192.168.121.72;192;168;121;72;-26.859677917685993;3.895152833212451
192.168.121.74;192;168;121;74;-24.8597295156688;3.9095190877303887
192.168.121.75;192;168;121;75;-23.8597553146602;3.9167022149893573
192.168.121.79;192;168;121;79;-19.85985851062581;3.945434724025232
192.168.121.81;192;168;121;81;-17.859910108608616;3.959800978543169
192.168.121.82;192;168;121;82;-16.859935907600022;3.9669841058021373
192.168.121.83;192;168;121;83;-15.85996170659142;3.9741672330611064
192.168.121.84;192;168;121;84;-14.859987505582824;3.981350360320075
192.168.121.86;192;168;121;86;-12.86003910356563;3.9957166148380123
192.168.121.87;192;168;121;87;-11.860064902557031;4.0028997420969805
192.168.121.88;192;168;121;88;-10.860090701548433;4.01008286935595
192.168.121.89;192;168;121;89;-9.860116500539837;4.017265996614919
192.168.121.90;192;168;121;90;-8.86014229953124;4.024449123873887
192.168.121.91;192;168;121;91;-7.860168098522642;4.031632251132855
192.168.121.92;192;168;121;92;-6.860193897514045;4.038815378391824
192.168.121.93;192;168;121;93;-5.860219696505449;4.045998505650793
192.168.121.94;192;168;121;94;-4.860245495496851;4.053181632909761
192.168.121.95;192;168;121;95;-3.8602712944882533;4.06036476016873
192.168.121.97;192;168;121;97;-1.8603228924710589;4.074731014686668
192.168.121.98;192;168;121;98;-0.8603486914624615;4.081914141945636
192.168.121.99;192;168;121;99;0.1396255095461359;4.089097269204605
192.168.121.100;192;168;121;100;1.139599710554733;4.096280396463573
192.168.121.103;192;168;121;103;4.1395223135805255;4.11782977824048
192.168.121.104;192;168;121;104;5.139496514589123;4.125012905499447
192.168.121.105;192;168;121;105;6.139470715597719;4.132196032758417
192.168.121.109;192;168;121;109;10.13936751963211;4.160928541794291
192.168.121.200;192;168;121;200;101.13701981141448;4.814593122360438
192.168.121.231;192;168;121;231;132.13622004268095;5.037270067388466
192.168.121.240;192;168;121;240;141.13598785175833;5.101918212719184
192.168.121.250;192;168;121;250;151.1357298618443;5.17374948530887
192.168.122.1;192;168;122;1;-97.85066306203743;2.385176596817082
192.168.122.4;192;168;122;4;-94.85074045901163;2.406725978593988
192.168.122.7;192;168;122;7;-91.85081785598585;2.4282753603708938
192.168.122.9;192;168;122;9;-89.85086945396864;2.4426416148888315
192.168.122.11;192;168;122;11;-87.85092105195146;2.457007869406769
192.168.122.12;192;168;122;12;-86.85094685094285;2.464190996665737
192.168.122.13;192;168;122;13;-85.85097264993426;2.4713741239247056
192.168.122.19;192;168;122;19;-79.85112744388266;2.514472887478518
192.168.122.22;192;168;122;22;-76.85120484085688;2.5360222692554233
192.168.122.23;192;168;122;23;-75.85123063984828;2.543205396514392
192.168.122.24;192;168;122;24;-74.8512564388397;2.550388523773361
192.168.122.29;192;168;122;29;-69.85138543379671;2.5863041600682046
192.168.122.30;192;168;122;30;-68.8514112327881;2.593487287327173
192.168.122.34;192;168;122;34;-64.8515144287537;2.6222197963630482
192.168.122.35;192;168;122;35;-63.851540227745126;2.629402923622016
192.168.122.36;192;168;122;36;-62.85156602673653;2.636586050880984
192.168.122.39;192;168;122;39;-59.85164342371073;2.6581354326578905
192.168.122.41;192;168;122;41;-57.85169502169353;2.672501687175828
192.168.122.42;192;168;122;42;-56.851720820684946;2.6796848144347964
192.168.122.43;192;168;122;43;-55.85174661967634;2.6868679416937655
192.168.122.46;192;168;122;46;-52.85182401665055;2.7084173234706714
192.168.122.48;192;168;122;48;-50.85187561463336;2.7227835779886083
192.168.122.49;192;168;122;49;-49.851901413624766;2.729966705247577
